StateAb,DivisionID,DivisionNm,PartyAb,PartyNm,CandidateID,Surname,GivenNm,Elected,HistoricElected
SA,188,Mayo,CCE,Conservatives for Climate and Environment,18720,BARONS,Rachael,N,N
SA,188,Mayo,IND,Independent,18718,BELL,Di,N,N
SA,188,Mayo,IND,Independent,17706,BREWERTON,Mary,N,N
SA,188,Mayo,LP,Liberal,18713,BRIGGS,Jamie,Y,N
SA,188,Mayo,DEM,Australian Democrats,18716,CASTRIQUE,Andrew,N,N
SA,188,Mayo,FFP,Family First Party,18712,DAY,Bob,N,N
SA,188,Mayo,ON,One Nation,18714,KEIZER,Mathew,N,N
SA,188,Mayo,IND,Independent,18719,KING,Malcolm Ronald,N,N
SA,188,Mayo,DLP,D.L.P. - Democratic Labor Party,18710,McCABE,David,N,N
SA,188,Mayo,IND,Independent,18706,SPRAGG,Bill,N,N
SA,188,Mayo,GRN,The Greens,18722,VONOW,Lynton,N,N
