StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,Liberal/National Coalition Votes,Liberal/National Coalition Percentage,Australian Labor Party Votes,Australian Labor Party Percentage,TotalVotes,Swing
VIC,215,Higgins,3415,Alamein,0,0,0,0,0,0
VIC,215,Higgins,3917,Armadale,0,0,0,0,0,0
VIC,215,Higgins,3416,Ashburton,0,0,0,0,0,0
VIC,215,Higgins,3425,Burwood,0,0,0,0,0,0
VIC,215,Higgins,3919,Burwood West,0,0,0,0,0,0
VIC,215,Higgins,3920,Camberwell,0,0,0,0,0,0
VIC,215,Higgins,3921,Camberwell Middle,0,0,0,0,0,0
VIC,215,Higgins,3922,Camberwell South,0,0,0,0,0,0
VIC,215,Higgins,3891,Carnegie North,0,0,0,0,0,0
VIC,215,Higgins,31769,Carnegie Upper,0,0,0,0,0,0
VIC,215,Higgins,3893,Chadstone,0,0,0,0,0,0
VIC,215,Higgins,3930,Darling,0,0,0,0,0,0
VIC,215,Higgins,3931,Ferndale,0,0,0,0,0,0
VIC,215,Higgins,3932,Gardiner,0,0,0,0,0,0
VIC,215,Higgins,3933,Glen Iris,0,0,0,0,0,0
VIC,215,Higgins,3934,Glen Iris South,0,0,0,0,0,0
VIC,215,Higgins,4667,Hawksburn,0,0,0,0,0,0
VIC,215,Higgins,4668,Hawksburn Central,0,0,0,0,0,0
VIC,215,Higgins,31972,Hughesdale North,0,0,0,0,0,0
VIC,215,Higgins,3938,Kooyong Park,0,0,0,0,0,0
VIC,215,Higgins,3939,Malvern,0,0,0,0,0,0
VIC,215,Higgins,3940,Malvern Central,0,0,0,0,0,0
VIC,215,Higgins,3903,Malvern East,0,0,0,0,0,0
VIC,215,Higgins,3941,Malvern Lower,0,0,0,0,0,0
VIC,215,Higgins,3942,Malvern South,0,0,0,0,0,0
VIC,215,Higgins,3943,Malvern West,0,0,0,0,0,0
VIC,215,Higgins,3904,Murrumbeena,0,0,0,0,0,0
VIC,215,Higgins,3944,Orrong,0,0,0,0,0,0
VIC,215,Higgins,4673,Prahran,0,0,0,0,0,0
VIC,215,Higgins,4674,Prahran East,0,0,0,0,0,0
VIC,215,Higgins,4688,South Yarra,0,0,0,0,0,0
VIC,215,Higgins,11526,South Yarra Central,0,0,0,0,0,0
VIC,215,Higgins,31597,Special Hospital Team 1,0,0,0,0,0,0
VIC,215,Higgins,31598,Special Hospital Team 2,0,0,0,0,0,0
VIC,215,Higgins,3945,Toorak,0,0,0,0,0,0
VIC,215,Higgins,3946,Toorak Central,0,0,0,0,0,0
VIC,215,Higgins,3947,Toorak West,0,0,0,0,0,0
VIC,215,Higgins,4689,Windsor,0,0,0,0,0,0
